,id,avatar_prompt_id,identifier,response_text,response_score,response_feedback,comment,id,turk_response_text,prompt_type,assignment,identifier,comment,response_round_score
122,5,5,2b,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",3.0,This is an acceptable answer because it clearly expresses that your have taken charge of the U.S. element.,,464,"No, he is not presently here. I am the officer running the US component of the colation",rewrite,3WLEIWSYHOHRX4DKMLRN1MWP2T6H2Nb,2b,,3
1255,31,31,10a,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",3.0,"Although asking to talk in private is the appropriate response, you addressed your interests in a tactful and respectful manner, and the team leader will most likely not find fault with your wording. He will, however, be flustered that you addressed a potential flaw in front of his subordinates.",,1011,"I do have one major concern, why are we setting up two aid stations?",rewrite,3QY7M81QH7MPLVBYYIBFA5TP5QU7KVa,10a,,3
1639,43,43,14b,Our American medics are trained at running aid stations and treating patients. They have much more experience than your medics. Our medics should handle the flow of patients.,1.67,"This might be true, but mentioning this to the team leader will make him feel offended and angry.",,1289,"With all due respect, let's let our medics run the aid stations and treat patients at least to start out. I realize your medics are are in the learning stages. ",rewrite,3NC5L260MOMLQFBJET1K5ENFNJPOF2b,14b,,1
419,11,11,4b,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,2.33,"Has an air of politeness to it that implies if the Chinese officer really needed the information, that you will give it, but it would be inconvenient to do so.",,797,Can we wait till the briefing? I am getting ready now.,rewrite,3570Y55XZPJ3YTBGV0G0PQLT28SYGQb,4b,,1
337,9,9,3c,He is busy today,3.0,"This answer is palatable because it offers an excuse for your senior officer's absence, but also offensive because it implies that your superior officer's time is more important than a Chinese officer of the same rank.",,1347,He is preoccupied.,rewrite,3GS6S824SQX5JGX233B7UD9ASCJWN2c,3c,,3
249,7,7,3a,I’d rather not say.,1.0,This anser is the worst because it is unnecessarily ambiguous. It only serves to increase suspicion between U.S. and Chinese.,,1447,I'm not at liberty to say.,rewrite,3LJ7UR74RHDTAEEITX5OZLQJ8KGN45a,3a,,1
779,18,18,6c,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",3.67,More of a mutual solution rather than offering something first.,,99,The flight will not go that route as it is dangerous,rewrite,3B837J3LDOWXRX8LC5IN68BZNWCRS6c,6c,,5
443,11,11,4b,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,2.33,"Has an air of politeness to it that implies if the Chinese officer really needed the information, that you will give it, but it would be inconvenient to do so.",,896,Is it ok to wait until mission brief? I'm getting ready now.,rewrite,3PS7W85Z8Z2S2XPE7ONRPS7RJTK9TQb,4b,,1
548,13,13,5a,"I'd really prefer just to wait until the brief, if that is ok.",1.0,It is very direct and centered on the speaker's discomfort with sharing information rather than make up a reason or simply share. Depending on the tone could display distrust.,,676,"If you don't mind, I'd rather wait until the brief.",rewrite,3E4GGUZ1T8RIZUESS6UKEECHUAKK24a,5a,,1
1087,25,25,8b,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",4.0,Appeals to the mission to help refugees while simultaneously in a matter of fact way explains what the speaker needs to do to proceed.,,1064,We all have our orders but the bottom line is the refugees and supplies. Im really sorry but in order to complete my mission I may have to speak to the chain of command.,rewrite,37TRT2X24QRHCN86TENJESF89RRBJSb,8b,,5
379,10,10,4a,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",5.0,"Moderately appropriate, displays understanding and empathy towards the officer and his need to know, but is direct in telling him he will not comply.",,868,"I understand you're trying to do right by your team, but you'll learn everything at the briefing this afternoon.",rewrite,3LRLIPTPEQ974X9W5LNZKWVF6Y6KA5a,4a,,5
1576,41,41,13b,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,2.67,"By asking for the team leader's reasoning instead of calling him out, you create a nonthreatening basis for discussion and also offer a valid point of your own.",,1190,Why is your plan better? Surely it would stretch the supplies too thin.,rewrite,3LQ8PUHQFLSV8PRMBOCFO236RP2IHYb,13b,,3
601,14,14,5b,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",5.0,The response is direct and does not seem to hold ulterior motives.,,689,"We have supply chests such as food, water and hospital equipment. As of now, it's primarily what we give the locals.",rewrite,3FDJT1UU748AYRXFAPWICLFTEK5K5Zb,5b,,5
698,16,16,6a,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",3.33,Addresses their problem but does not offer solutions. Focuses on your problem due to their shortcomings.,,105,May I ask a few questions about ground coverage? ,rewrite,3DHE4R9OCWBDX8I92F95GMKONTT2G9a,6a,,3
352,9,9,3c,He is busy today,3.0,"This answer is palatable because it offers an excuse for your senior officer's absence, but also offensive because it implies that your superior officer's time is more important than a Chinese officer of the same rank.",,1323,His schedule is full today.,rewrite,3HMVI3QICJS6UELDDHVXI3HN0JCY1Tc,3c,,3
1326,33,33,10c,I don't have any questions right now.,1.0,"Although waiting to speak to the team leader when he is in private is culturally appropriate, this response is too passive and does not even arrange for a later discussion.",,945,I have no questions at the moment?,rewrite,36H9ULYP62U7P4KMYG9FXI6TOPDFJ8c,10c,,1
1526,40,40,13a,The plan was to use one large aid station with American medics running it. How is this way better?,2.67,"You simply restated the original plan, which the team leader elected to change. This raises the probability of an impasse since you are not superior to the Chinese team leader.",,1223,How would it be better to have two stations?,rewrite,3YW4XOSQKQLPD5183GY8FIBA4V2U1Sa,13a,,3
933,21,21,7b,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",4.33,Focuses on the compromise and the sentiment that they cannot get the mission done without them. Has a determined tone that there is a way to make things work. A better option since it does not have as great of an emotional response.,,1588,We will have to reach some kind of agreement because if I have to drop my current plan then I have to elevate this and call my superiors because I can't get this done otherwise. It would look better if we worked it out ourselves.,rewrite,3IXEICO792J5KENG9HKF5IGPTSBT6Yb,7b,,5
1026,23,23,7d,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",3.0,The anger is expressive but accurate for the situation since an emotional response is appropriate,,1562,We need more equipment to finish the job,rewrite,3C2NJ6JBKAHJ70ZVPJM066TLO5ON2Bd,7d,,3
892,21,21,7b,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",4.33,Focuses on the compromise and the sentiment that they cannot get the mission done without them. Has a determined tone that there is a way to make things work. A better option since it does not have as great of an emotional response.,,1492,"I can support you with manpower if you can make sure that those planes arrive immediately.  Otherwise, we cannot work together.",rewrite,31Z0PCVWUKFOOE1LSRP7BWGLO3V7TBb,7b,,5
694,16,16,6a,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",3.33,Addresses their problem but does not offer solutions. Focuses on your problem due to their shortcomings.,,177,"If it is alright, i have a few questions about the mission since i heard you had a flight delay and that will affect how many Chinese soldiers are on the ground and i hope everything was resolved.",rewrite,3PQMUDRV7R6V4K26H6U0OE4LR2ZII9a,6a,,3
1555,41,41,13b,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,2.67,"By asking for the team leader's reasoning instead of calling him out, you create a nonthreatening basis for discussion and also offer a valid point of your own.",,1192,"I don’t understand the benefit here.  If we have to spread the supplies between two stations, people will have to be shuffled between the two!",rewrite,37ZHEEHM6WMJPX3RDCJGTJCNU4H73Tb,13b,,3
114,5,5,2b,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",3.0,This is an acceptable answer because it clearly expresses that your have taken charge of the U.S. element.,,53,I've been tasked with responsibility for this US element and you'll be dealing directly with me now.,feedback,3O7L7BFSHEPJOF0KLN493Z6TXBGEIMb,2b,,3
1246,30,30,9c,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",3.33,Ties the two parties together and points out a potential reason why the issue exists with the supplies.,,285,"You pointed at that container over there? Is it what is inside that has you concerned? Work with me here, we have no other choice.",rewrite,3M0NZ3JDP1Y5NMW1AQZSZ036ITHZ5Zc,9c,,3
327,9,9,3c,He is busy today,3.0,"This answer is palatable because it offers an excuse for your senior officer's absence, but also offensive because it implies that your superior officer's time is more important than a Chinese officer of the same rank.",,1443,He is not available to meet today.,rewrite,3C2NJ6JBKAHJ70ZVPJM066TLO5KN27c,3c,,3
928,21,21,7b,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",4.33,Focuses on the compromise and the sentiment that they cannot get the mission done without them. Has a determined tone that there is a way to make things work. A better option since it does not have as great of an emotional response.,,1612,We need you help. We don't want to have to tell the commander about this so can we handle it on our level?,rewrite,3NVC2EB65QZ24HZS0L9G6WWKY3GY3Bb,7b,,5
165,6,6,2c,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,5.0,"This is the best answer because it provides an excuse for the absence of your boss. Failing to do so would result in a loss of face for the Chinese Captain, because it would demonstrate that your officer does not have time to meet Captain Wang.",,372,He is preoccupied with another matter that came up suddenly. I am taking his place as head.,rewrite,378XPAWRUCDGY2J85I2N7GG2EUNAIQc,2c,,5
963,22,22,7c,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",2.67,"Focuses on the compromise, but has a bit of a harsher tone and almost shames the Chinese officer into complying.",,1545,There is absolutely no way for this to work for both of us? Those refugees desperately need these supplies and they will not receive them without the aid of you and your men.,rewrite,39U1BHVTDLR6NV0YQFMHYF45J1CT3Vc,7c,,3
1630,43,43,14b,Our American medics are trained at running aid stations and treating patients. They have much more experience than your medics. Our medics should handle the flow of patients.,1.67,"This might be true, but mentioning this to the team leader will make him feel offended and angry.",,1232,Since our American medics are well trained in patient care and trauma stations it would be best that they handle patient flow. ,rewrite,31T4R4OBOSG72XZA65UHMMGH0HM7CJb,14b,,1
29,4,4,2a,"No, he is not here. I am taking his place.",1.0,This answer is too curt and could be insulting to a Chinese officer senior in rank to you because you provide no explanation for the absence of your superior officer.,,412,"He's unavailable, because I will be taking his place. ",rewrite,3JZQSN0I3QAXY2ULQAOC05EDWX9GFIa,2a,,1
639,15,15,5c,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,3.0,Deliberately makes assumptions about the Chinese officer knowing what a basic loadout is for an American aid mission which is not entirely empathetic. ,,696,There is not much to report. It is typical Humanitarian supplies.,rewrite,3HHRAGRYX85CP5K6B71SVI14KLX9OYc,5c,,3
582,14,14,5b,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",5.0,The response is direct and does not seem to hold ulterior motives.,,674,"Right now we have the essentials such as hospital equipment, food, and water. These will be for the locals.",rewrite,3E4GGUZ1T8RIZUESS6UKEECHUA72K9b,5b,,5
1514,39,39,12c,"Hello, sir. Have you eaten yet?",1.0,"Asking if someone has eaten yet is an extremely common and polite way to initiate a Chinese conversation. However, since you have already been together in the recent past, this step is not efficient and unnecessary.",,564,"Hi, there. Are you hungry, Sir?",rewrite,38F71OA9GTWXQCQ71DM7DAYASJEMFPc,12c,,1
243,7,7,3a,I’d rather not say.,1.0,This anser is the worst because it is unnecessarily ambiguous. It only serves to increase suspicion between U.S. and Chinese.,,1336,I wouldn't like to say.,rewrite,3483FV8BEEJB0FT3Q20J4V7ZTFQ267a,3a,,1
1629,43,43,14b,Our American medics are trained at running aid stations and treating patients. They have much more experience than your medics. Our medics should handle the flow of patients.,1.67,"This might be true, but mentioning this to the team leader will make him feel offended and angry.",,1244,Our medics should handle the flow of patients because  they have more experience and are trained in running aid stations and treating patients. ,rewrite,33IZTU6J811HOTUXL4OFVQXNODMXSXb,14b,,1
1031,23,23,7d,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",3.0,The anger is expressive but accurate for the situation since an emotional response is appropriate,,1498,"What are you taking about? We need men, not supplies.",rewrite,33UKMF9319KBMCYS5US8GS83D0PTTCd,7d,,3
213,7,7,3a,I’d rather not say.,1.0,This anser is the worst because it is unnecessarily ambiguous. It only serves to increase suspicion between U.S. and Chinese.,,1420,"I apologize for the inconvenience, he was called away.",rewrite,3TR2532VIPUB6BRBXN6B3CTGVQ9J68a,3a,,1
922,21,21,7b,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",4.33,Focuses on the compromise and the sentiment that they cannot get the mission done without them. Has a determined tone that there is a way to make things work. A better option since it does not have as great of an emotional response.,,1488,"We are unable to do this without the extra men. I will have to quit the mission and inform my commander and I think neither of us would want that. Can we please try to make a compromise so we can figure this out on our own, without escalating.",rewrite,31T4R4OBOSG72XZA65UHMMGH0H1C73b,7b,,5
1306,32,32,10b,Can you explain to me why we are setting up two individual aid stations?,2.0,"Asking the team leader to explain to you will likely make him angry that he has to justify himself to a peer, and doing this in public will most likely embarrass him.",,936,What's the explanation behind setting up two individual aid stations?,rewrite,34HJIJKLP5W6IJNRVORF92KWUMFV4Pb,10b,,1
56,4,4,2a,"No, he is not here. I am taking his place.",1.0,This answer is too curt and could be insulting to a Chinese officer senior in rank to you because you provide no explanation for the absence of your superior officer.,,391,"No, he was unable to make, so I am filling in.",rewrite,3FDJT1UU748AYRXFAPWICLFTEKZK5Ta,2a,,1
674,16,16,6a,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",3.33,Addresses their problem but does not offer solutions. Focuses on your problem due to their shortcomings.,,185,I hope everything is OK. I wanted to think through how to the flight delay will affect the mission. ,rewrite,3QXNC7EIPIVRMOSN9MZH5H5MMIT09Ba,6a,,3
1609,42,42,14a,"Our medics are better at doing this sort of thing, and your men are better at site security.",2.67,"You mentioned each team's relative strengths, but unless you incentivize their job's importance and appeal to the leader's pride, they will keep doing what they were doing.",,1243,Your men are good at security and ours are better at this sort of thing. ,rewrite,33IZTU6J811HOTUXL4OFVQXNODMXSXa,14a,,3
938,21,21,7b,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",4.33,Focuses on the compromise and the sentiment that they cannot get the mission done without them. Has a determined tone that there is a way to make things work. A better option since it does not have as great of an emotional response.,,1640,"scrap my plan and notify my commander,we both would like to keep it from getting to  level so can we try and figure something out.",rewrite,3U5NZHP4LR2NPBEQOJ2ZXZ4ID3WPHGb,7b,,5
1601,42,42,14a,"Our medics are better at doing this sort of thing, and your men are better at site security.",2.67,"You mentioned each team's relative strengths, but unless you incentivize their job's importance and appeal to the leader's pride, they will keep doing what they were doing.",,1294,This sort of thing will be for our medics while your men will be better of at the site security.,rewrite,3PW9OPU9PQKGTTS6KWO29ZGIL4C12Aa,14a,,3
318,9,9,3c,He is busy today,3.0,"This answer is palatable because it offers an excuse for your senior officer's absence, but also offensive because it implies that your superior officer's time is more important than a Chinese officer of the same rank.",,1338,He has stuff to do today.,rewrite,3483FV8BEEJB0FT3Q20J4V7ZTFQ267c,3c,,3
1000,23,23,7d,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",3.0,The anger is expressive but accurate for the situation since an emotional response is appropriate,,1482,"I don't believe this. We have ample supplies, but need your men to help. We can't do this without your help since we're already stretched so thin.",rewrite,30H4UDGLT2I9HPF1FGICP4CEUP8PM2d,7d,,3
218,7,7,3a,I’d rather not say.,1.0,This anser is the worst because it is unnecessarily ambiguous. It only serves to increase suspicion between U.S. and Chinese.,,1366,I do not want to say.,rewrite,324G5B4FB38N854UUP1XRLEGRSX07Ra,3a,,1
789,18,18,6c,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",3.67,More of a mutual solution rather than offering something first.,,147,We have more than enough supplies to provide while we wait for the planes arrival. ,rewrite,3KOPY89HM82C9S4TEL8DW9HWLZ7J32c,6c,,5
261,8,8,3b,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",4.67,This answer does a good job of providing a reasonable excuse without revealing any internal information.,,1409,"Basically, he is doing another duty and won’t be in today.",rewrite,34J10VATJFY8LIQPUEZ9XGV7ICYQI2b,3b,,5
906,21,21,7b,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",4.33,Focuses on the compromise and the sentiment that they cannot get the mission done without them. Has a determined tone that there is a way to make things work. A better option since it does not have as great of an emotional response.,,1564,It will be necessary to collaborate to avoid scrapping the mission. Surely together we can arrive at a solution. ,rewrite,3DI28L7YXAE8O94MDGJ3B0P7I7Y1E8b,7b,,5
1365,34,34,10d,Can I talk with you in private once questions are over?,5.0,Good job! this answer both demonstrates respect for the team leader's image in front of his subordinates and accomplishes your intent of discussing the plan.,,970,"When questions are over, can we please speak privately?",rewrite,3D3VGR7TA0FT7GN6MQHMY03NVG4R35d,10d,,5
1574,41,41,13b,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,2.67,"By asking for the team leader's reasoning instead of calling him out, you create a nonthreatening basis for discussion and also offer a valid point of your own.",,1230,"What is the advantage of your plan? If we divide the supplies, we won't be able to help everyone.",rewrite,39GAF6DQWR0PQKQ8868DB4DTI24V1Bb,13b,,3
1363,34,34,10d,Can I talk with you in private once questions are over?,5.0,Good job! this answer both demonstrates respect for the team leader's image in front of his subordinates and accomplishes your intent of discussing the plan.,,1014,"Once we discuss this, can we speak in private?",rewrite,3QY7M81QH7MPLVBYYIBFA5TP5QU7KVd,10d,,5
1532,40,40,13a,The plan was to use one large aid station with American medics running it. How is this way better?,2.67,"You simply restated the original plan, which the team leader elected to change. This raises the probability of an impasse since you are not superior to the Chinese team leader.",,1219,The agreed upon plan was to set up a single large aid station operated by American medics. Why do you think your proposal to set up two stations is a better way to handle this crisis?,rewrite,3Z3ZLGNNSIUTVF869BSMTATIZUBQ3Ca,13a,,3
610,15,15,5c,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,3.0,Deliberately makes assumptions about the Chinese officer knowing what a basic loadout is for an American aid mission which is not entirely empathetic. ,,669,All we have to share is our basic loadout for Humanitarian Aid Missions.,rewrite,3A1COHJ8NJV2JJF9220OBD9SOTG8HZc,5c,,3
828,19,19,6d,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",3.0,You are offering a solution to their problem while keeping it at the lowest level. This helps save face for the officer by solving their problem for them. Good for long term orientation as well.,,104,"Pardon the intrusion, but do you need asistance? In light of the flight delay I'd like to supply anything you need to keep us on schedule.",rewrite,3CFJTT4SXTQYF0LAYFQ3XPECDM47IJd,6d,,3
1242,30,30,9c,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",3.33,Ties the two parties together and points out a potential reason why the issue exists with the supplies.,,288,What is in those containers you were referring to earlier? Will that help us? Let's make this work.,rewrite,3NL0RFNU0FNS28TFWKD87T9FEO6K4Qc,9c,,3
1455,37,37,12a,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",3.0,"This answer isn't bad, but in demonstrating eagerness to discuss the problem right off the bat it may be conveyed as disrespect.",,559,Thank you for talking with me in private. I would like more information on why you said we would set up two aid stations.,rewrite,37M28K1J0QDCTD3EN0NNJHV2R9BJAAa,12a,,3
237,7,7,3a,I’d rather not say.,1.0,This anser is the worst because it is unnecessarily ambiguous. It only serves to increase suspicion between U.S. and Chinese.,,1429,I would prefer not to answer.,rewrite,3RRCEFRB7MCR95PLQ70F8QQPRU4B44a,3a,,1
733,17,17,6b,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",2.0,Worst option since the tone is quite casual and seems to be flippant of the Chinese Officers situation.,,90,Since I found out that your plane was delayed I would like to share more of our plans for the mission so that we may collaborate more closely.,rewrite,39K0FND3AHF2UL9ZQX0FZ9NJV31MACb,6b,,1
1381,35,35,11a,It won't take long.,3.0,Gently nudging your interests forward after they have already been stated is a good way to push your position without aggravating the team leader.,,491,It will not be lengthy.,rewrite,358010RM5ETXGLB1FZTK6DHUNHJVX3a,11a,,3
144,6,6,2c,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,5.0,"This is the best answer because it provides an excuse for the absence of your boss. Failing to do so would result in a loss of face for the Chinese Captain, because it would demonstrate that your officer does not have time to meet Captain Wang.",,48,Captain Heist cannot be here because he has unexpected business but I am here to help you.,feedback,3MTMREQS4VIYZX3DUZ6287PAR7GWAGc,2c,,5
1323,33,33,10c,I don't have any questions right now.,1.0,"Although waiting to speak to the team leader when he is in private is culturally appropriate, this response is too passive and does not even arrange for a later discussion.",,985,I have no further questions.,rewrite,3KXIR214I4GXLSPP7E747XNLXOL42Pc,10c,,1
976,22,22,7c,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",2.67,"Focuses on the compromise, but has a bit of a harsher tone and almost shames the Chinese officer into complying.",,1489,"We have no option but to complete this mission, there are people out there that need our help and the supplies we have. We cannot do this without your help. Is there no way for us to work this out?",rewrite,31T4R4OBOSG72XZA65UHMMGH0H1C73c,7c,,3
1019,23,23,7d,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",3.0,The anger is expressive but accurate for the situation since an emotional response is appropriate,,1654,"We have enough supplies, we just need your men to help us, we won't be able to do it without you since we already have a lot going on as is.",rewrite,3X87C8JFV6BXFWTLZQTN1I1URAZSQVd,7d,,3
509,12,12,4c,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,2.33,The response is curt and dismissive.,,861,You will need all of the details to help you and I have not had the opportunity to finalize them.,rewrite,3K9FOBBF2HJP8ML3ZP45L2SUU68NLVc,4c,,1
1333,33,33,10c,I don't have any questions right now.,1.0,"Although waiting to speak to the team leader when he is in private is culturally appropriate, this response is too passive and does not even arrange for a later discussion.",,1049,No questions for now.,rewrite,3ZAK8W07I4EP6GGQ7XU81DS0Z3O0UNc,10c,,1
798,19,19,6d,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",3.0,You are offering a solution to their problem while keeping it at the lowest level. This helps save face for the officer by solving their problem for them. Good for long term orientation as well.,,188,How can I help this mission get past the delay?,rewrite,3QXNC7EIPIVRMOSN9MZH5H5MMIT09Bd,6d,,3
1439,37,37,12a,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",3.0,"This answer isn't bad, but in demonstrating eagerness to discuss the problem right off the bat it may be conveyed as disrespect.",,550,"Now that we are meeting alone, please tell me the real reason you want two aid stations.",rewrite,333U7HK6I9FARK6Q7AEP9I38CC0JD4a,12a,,3
518,13,13,5a,"I'd really prefer just to wait until the brief, if that is ok.",1.0,It is very direct and centered on the speaker's discomfort with sharing information rather than make up a reason or simply share. Depending on the tone could display distrust.,,640,I think that it would be best if we wait for the brief.,rewrite,34HJIJKLP5W6IJNRVORF92KWUMAV4Ka,5a,,1
1582,42,42,14a,"Our medics are better at doing this sort of thing, and your men are better at site security.",2.67,"You mentioned each team's relative strengths, but unless you incentivize their job's importance and appeal to the leader's pride, they will keep doing what they were doing.",,1309,"I feel that site security is what your men excel at, and our's medics excel at this.",rewrite,3WAKVUDHUWG3ORGASWFHGS2N7H0U7Na,14a,,3
1459,37,37,12a,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",3.0,"This answer isn't bad, but in demonstrating eagerness to discuss the problem right off the bat it may be conveyed as disrespect.",,592,While we're in private please answer why you said that we would set up two aid stations?,rewrite,3KB8R4ZV1E77LLI5L82GHFNSHZ6BGKa,12a,,3
1280,32,32,10b,Can you explain to me why we are setting up two individual aid stations?,2.0,"Asking the team leader to explain to you will likely make him angry that he has to justify himself to a peer, and doing this in public will most likely embarrass him.",,992,Are you able to elaborate as to why two seperate aid stations are being made?,rewrite,3NGI5ARFTT5CL0TCMUZE5COBWE2P1Jb,10b,,1
908,21,21,7b,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",4.33,Focuses on the compromise and the sentiment that they cannot get the mission done without them. Has a determined tone that there is a way to make things work. A better option since it does not have as great of an emotional response.,,1524,"The fact is we cannot do it without you. There must be some type of compromise that we can agree on.  Otherwise I need to trash the current plan and contact my commander, which isn't something either of us want to happen.",rewrite,379J5II41OGLEG8Q6Q1MVFYLGDDEL1b,7b,,5
688,16,16,6a,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",3.33,Addresses their problem but does not offer solutions. Focuses on your problem due to their shortcomings.,,117,I hope this is resolved quickly.  I was hoping to ask you a few questions about the mission since I heard your flight was delayed and that will impact the number of soliders on the groun.,rewrite,3F1567XTNW5FAHXMQKTWKNW4ZM9Q9Ha,6a,,3
1016,23,23,7d,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",3.0,The anger is expressive but accurate for the situation since an emotional response is appropriate,,1650,We have all of the supplies needed.  The only aspect that is needed from you is manpower.  It cannot be done without you and your men.,rewrite,3WOKGM4L71GUTBWTBBIZ270BHHZO0Xd,7d,,3
1055,24,24,8a,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,1.0,Does not attempt to come up with a solution and distances the user from the chinese officer,,1139,"I'm sorry, but I have no choice but to speak with either my commander or yours to get this plan to work.  I don't see an alternate solution.",rewrite,3RANCT1ZVFHQQ3J05DRXLUOJQ7RBUQa,8a,,1
1371,35,35,11a,It won't take long.,3.0,Gently nudging your interests forward after they have already been stated is a good way to push your position without aggravating the team leader.,,535,I only need a few minutes of your time.,rewrite,3X73LLYYQ1ENMQ2D84P7TAZNDOWHNDa,11a,,3
1535,40,40,13a,The plan was to use one large aid station with American medics running it. How is this way better?,2.67,"You simply restated the original plan, which the team leader elected to change. This raises the probability of an impasse since you are not superior to the Chinese team leader.",,1229,The original idea was to have one American-run aid station. How is this alteration better?,rewrite,39GAF6DQWR0PQKQ8868DB4DTI24V1Ba,13a,,3
1448,37,37,12a,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",3.0,"This answer isn't bad, but in demonstrating eagerness to discuss the problem right off the bat it may be conveyed as disrespect.",,577,"Okay. Now that we are alone, why did you say that we would set up two aid stations?",rewrite,3GA6AFUKOOOGIM93QL5SKW1H87A3HOa,12a,,3
107,5,5,2b,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",3.0,This is an acceptable answer because it clearly expresses that your have taken charge of the U.S. element.,,38,I have been assigned to conduct the business for Captain Heist.,feedback,3B1NLC6UGZW9PFJF4DKHCZSHW5QPGQb,2b,,3
643,15,15,5c,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,3.0,Deliberately makes assumptions about the Chinese officer knowing what a basic loadout is for an American aid mission which is not entirely empathetic. ,,756,There isn't much to tell you.  This is going to be a basic loadout mission for Humanitarian aid.,rewrite,3UOUJI6MTDEX36M1A9JFARFB9AGXUMc,5c,,3
349,9,9,3c,He is busy today,3.0,"This answer is palatable because it offers an excuse for your senior officer's absence, but also offensive because it implies that your superior officer's time is more important than a Chinese officer of the same rank.",,1410,He’s occupied today,rewrite,34J10VATJFY8LIQPUEZ9XGV7ICYQI2c,3c,,3
1325,33,33,10c,I don't have any questions right now.,1.0,"Although waiting to speak to the team leader when he is in private is culturally appropriate, this response is too passive and does not even arrange for a later discussion.",,937,I have no questions at the moment.,rewrite,34HJIJKLP5W6IJNRVORF92KWUMFV4Pc,10c,,1
